SQI,BlockGap_min,TrainDur_min,TimeGap_min,Avg_MAE_SBP,Avg_MAE_DBP,Fold1,Fold2,Fold3,Fold4,Fold5
None,10,15,0,11.460471,6.3340178,2.6848173,14.135533,13.540748,13.346392,13.594869
None,10,15,5,10.149297,6.012896,1.7723297,11.484072,13.588497,12.764045,11.137539
None,10,15,10,10.520887,6.1521425,1.5260003,9.290496,20.896158,10.509334,10.382447
None,10,15,15,10.817238,6.23664,1.2988124,8.0061865,23.067465,11.67389,10.039838
Strict,0,3,0,5.280404,3.922401,1.8192691,2.2243674,5.5430627,9.677755,7.137567
Strict,0,3,5,9.255709,5.8633347,1.5552251,10.954213,13.476544,11.321995,8.970569
Strict,0,3,10,11.796398,7.6894073,3.177156,11.933045,12.08187,15.977269,15.812653
Strict,0,3,15,9.921196,6.083886,5.3122754,3.1438484,13.426524,15.545852,12.17748
Strict,0,5,0,5.120027,3.4002445,1.3965062,4.9806724,3.7893043,11.100455,4.333198
Strict,0,5,5,10.345114,6.621301,1.1547999,8.27051,15.886216,13.531789,12.882251
Strict,0,5,10,11.967488,7.3231125,2.1868355,13.141544,14.308527,14.886915,15.313623
Strict,0,5,15,8.393986,5.655137,2.451677,5.0711102,11.993137,12.160771,10.293231
Strict,0,10,0,7.235167,4.3648176,1.3407961,4.8733764,7.358769,11.110179,11.492715
Strict,0,10,5,10.581701,6.254962,2.7877262,9.566632,13.734387,13.436216,13.383545
Strict,0,10,10,9.161699,5.265966,3.3091178,8.83875,10.562897,12.0628395,11.034893
Strict,0,10,15,8.748387,5.4429226,2.0647995,6.316645,20.859045,7.9448805,6.5565643
Strict,0,15,0,8.563175,5.6698766,1.4893184,8.435014,11.33453,11.99136,9.565656
Strict,0,15,5,9.898483,6.385176,1.7099625,9.179871,12.645403,14.324533,11.632646
Strict,0,15,10,7.8519425,4.7384744,2.0079203,7.59909,10.70457,10.417618,8.530515
Strict,0,15,15,9.721886,5.978463,1.5482821,3.703833,21.804499,12.687716,8.865099
Strict,3,3,0,6.1894903,3.5219646,1.6116894,3.6930597,8.409439,12.80496,4.4283056
