BlockGap_min,TrainDur_min,TimeGap_min,Avg_MAE_SBP,Avg_SD_SBP,Avg_MAE_DBP,Avg_SD_DBP,ValidFolds
0,3,0,2.047355031967163,1.537341868877411,1.141389000415802,0.9251695513725281,5
0,3,5,4.977433776855468,2.199026012420654,3.0171640276908875,1.1508665323257445,5
0,3,10,10.491845035552979,1.6624031066894531,5.550547087192536,0.9758892893791199,5
0,3,15,9.34045639038086,2.665151226520538,4.157514858245849,1.3797062754631042,5
0,5,0,2.626667833328247,1.6968004703521729,1.1524731636047363,1.071247935295105,5
0,5,5,5.480109930038452,2.017199468612671,3.2877807021141052,1.1723308086395263,5
0,5,10,9.42977147102356,1.6753567695617675,5.054604125022888,1.0106938838958741,5
0,5,15,8.087843227386475,2.662430763244629,4.125877475738525,1.5059770584106444,5
0,10,0,3.202222466468811,2.8127113819122314,1.576531183719635,1.6070186018943786,5
0,10,5,5.124118852615356,2.3001730680465697,3.039972794055939,1.2021074175834656,5
0,10,10,8.734798955917359,1.8237053155899048,5.053038477897644,1.0649075627326965,5
0,10,15,6.512718677520752,2.6854145169258117,3.6802509784698487,1.4663305521011352,5
0,15,0,3.187449264526367,2.8668689489364625,1.5828219532966614,1.4774366736412048,5
0,15,5,4.876095175743103,2.1321270942687987,2.8386462926864624,1.224556040763855,5
0,15,10,8.353981733322144,1.99950270652771,4.321736109256745,1.0752814054489135,5
0,15,15,8.578443670272828,2.0850741624832154,4.5936863899230955,1.0111777782440186,5
3,3,0,2.6841250896453857,1.7973854780197143,1.3958725214004517,1.076309859752655,5
3,3,5,7.023219656944275,1.8267154097557068,4.14861695766449,0.9921766757965088,5
3,3,10,9.070303106307984,1.8721190452575684,4.948053157329559,1.0612597465515137,5
3,3,15,8.240895175933838,2.7561097145080566,4.290457057952881,1.3620270252227784,5
3,5,0,3.5885159492492678,2.561449432373047,1.9450809717178346,1.443208909034729,5
3,5,5,6.005104231834411,2.1338005304336547,3.3651207208633425,1.1195783257484435,5
3,5,10,9.538491153717041,1.9375304460525513,5.134626245498657,1.0345207691192626,5
3,5,15,7.988708400726319,2.3575236082077025,4.156094789505005,1.3035653948783874,5
3,10,0,3.131419801712036,3.0544944763183595,2.0096389770507814,1.6673813104629516,5
3,10,5,6.334968185424804,2.0970969438552856,2.8097999811172487,1.2042505383491515,5
3,10,10,8.153697538375855,2.101988649368286,4.678243613243103,1.189587914943695,5
3,10,15,7.284289979934693,1.6814968466758728,4.667373085021973,0.9636831879615784,5
3,15,0,3.53153874874115,3.3471405029296877,2.017379951477051,1.9055769205093385,5
3,15,5,5.5064781665802,2.116908645629883,3.2148526191711424,1.259714412689209,5
3,15,10,8.524154376983642,1.947623038291931,4.313176608085632,1.1006736516952516,5
3,15,15,8.306068992614746,2.119173216819763,4.575699758529663,1.0561279773712158,5
5,3,0,2.7896471977233888,2.694069838523865,1.9156238079071044,1.7302264451980591,5
5,3,5,7.533522891998291,2.233995795249939,4.054594278335571,1.1871170043945312,5
5,3,10,11.322829532623292,1.7570302724838256,5.880273866653442,1.0025520324707031,5
5,3,15,8.125360250473022,1.920825457572937,4.430985975265503,1.1184661865234375,5
5,5,0,3.893857145309448,3.5656214714050294,2.2508179783821105,2.1829591274261473,5
5,5,5,7.215766716003418,2.010142755508423,3.502356934547424,1.0766119122505189,5
5,5,10,10.25311346054077,2.1129863262176514,5.679397010803223,1.3002874493598937,5
5,5,15,8.244414162635803,2.0651469230651855,4.634299051761627,1.1502758264541626,5
5,10,0,4.469310283660889,2.4547959327697755,2.483000338077545,1.3804158091545105,5
5,10,5,6.9309141635894775,2.301631236076355,3.9358009338378905,1.183004891872406,5
5,10,10,8.906436729431153,2.353831076622009,4.640552973747253,1.3574082970619201,5
5,10,15,8.078408336639404,1.7574955224990845,4.850349199771881,0.9869442105293273,5
5,15,0,3.8316089153289794,2.65403265953064,1.9259958863258362,1.5991384387016296,5
5,15,5,4.655824661254883,2.5486294507980345,2.3645012378692627,1.480767560005188,5
5,15,10,8.32562198638916,2.2205250024795533,4.807454252243042,1.2291362762451172,5
5,15,15,8.113604044914245,2.021111273765564,4.589929330348968,1.0531156182289123,5
10,3,0,4.422859501838684,3.3182337999343874,2.466411364078522,1.8815348625183106,5
10,3,5,7.874784278869629,3.231705403327942,3.7420573472976684,1.8944634914398193,5
10,3,10,9.312182807922364,3.0276533007621764,5.239661788940429,1.7503862023353576,5
10,3,15,9.382259273529053,2.8603236079216003,5.014832603931427,1.6722592830657959,5
10,5,0,4.945163893699646,3.415300703048706,2.523743712902069,2.061765956878662,5
10,5,5,8.48327569961548,3.0940994024276733,4.19817156791687,1.8292894124984742,5
10,5,10,9.443217086791993,3.525385594367981,5.183393335342407,2.0238417625427245,5
10,5,15,9.38194727897644,2.9073158144950866,5.142254781723023,1.695444929599762,5
10,10,0,4.739200687408447,3.787563443183899,2.453985595703125,2.1903260946273804,5
10,10,5,8.375593185424805,3.3241106271743774,4.93690140247345,1.9249843120574952,5
10,10,10,7.278342580795288,3.254353404045105,4.088576436042786,1.7398859024047852,5
10,10,15,8.755674242973328,2.8289349555969237,5.003164958953858,1.72100750207901,5
10,15,0,3.920382928848267,3.6830344200134277,1.9334460020065307,2.2629287242889404,5
10,15,5,7.135184049606323,3.412657952308655,3.6731913685798645,1.8813103437423706,5
10,15,10,6.2757714033126835,2.862273097038269,3.6382787942886354,1.7299843788146974,5
10,15,15,8.14595410823822,3.0681918382644655,4.448884630203247,1.781445574760437,5
